"from","NFR","NY","VT","NH","ME","statistic"
"NFR",0.894129979035639,0.968354430379747,0.95615671641791,0.957761351636748,0.975127087872186,"accuracy"
"NY",0.858787268838848,0.901183736489964,0.78544776119403,0.718409010911651,0.814814814814815,"accuracy"
"VT",0.769859739606265,0.797622723062674,0.857142857142857,0.562126011967617,0.808823529411765,"accuracy"
"NH",0.805144977671552,0.724606359987651,0.78544776119403,0.849765258215962,0.826252723311547,"accuracy"
"ME",0.832305950434017,0.794689719049089,0.66044776119403,0.702217529039071,0.923123486682809,"accuracy"
"NFR",0.832781456953642,0.943676395289298,0.95368782161235,0.951324707332101,0.948967889908257,"sensitivity"
"NY",0.729967812976453,0.825042881646655,0.747855917667238,0.577942082563155,0.623279816513762,"sensitivity"
"VT",0.48636286633915,0.49615975422427,0.869318181818182,0.286506469500924,0.503440366972477,"sensitivity"
"NH",0.724716245976622,0.69994879672299,0.76843910806175,0.858283433133733,0.521788990825688,"sensitivity"
"ME",0.608334745044892,0.405017921146953,0.41852487135506,0.547751078250154,0.855263157894737,"sensitivity"
"NFR",0.931710615280595,0.979005524861878,0.959100204498977,0.966338259441708,0.987247608926674,"specificity"
"NY",0.934867433716858,0.933823529411765,0.830265848670757,0.905582922824302,0.90356004250797,"specificity"
"VT",0.937274909963986,0.927734806629834,0.842465753424658,0.929392446633826,0.950318809776833,"specificity"
"NH",0.852641056422569,0.73524861878453,0.805725971370143,0.837606837606838,0.967321997874601,"specificity"
"ME",0.964582291145573,0.962872928176796,0.948875255623722,0.908045977011494,0.955357142857143,"specificity"
