"tag","cluster","eigen_centrality","betweenness","closeness","degree.res","degree.centralization","degree.theoretical_max","theme"
"waterway",3,0.682344562462095,9087.30954144287,0.000143307537976498,445,0.377733628095018,7433802,"aquatics"
"boat",3,0.3274196442264,16632.9490069388,0.000149009089554463,408,0.377733628095018,7433802,"aquatics"
"water transportation",3,0.198829621413142,5560.30918400155,0.000139489468545125,291,0.377733628095018,7433802,"aquatics"
"boating",3,0.174773908931695,3772.0239499042,0.000144050705848459,278,0.377733628095018,7433802,"aquatics"
"boats and boating equipment and supplies",3,0.0903564309628802,3431.56508960726,0.00013978194017333,200,0.377733628095018,7433802,"aquatics"
"watercraft",3,0.0728053706273993,3372.40996092827,0.000140114894213255,224,0.377733628095018,7433802,"aquatics"
"kayak",3,0.0551859161067966,973.480466812891,0.000138773244518457,95,0.377733628095018,7433802,"aquatics"
"dock",3,0.0509950036930885,4667.3439108315,0.000140745953553835,158,0.377733628095018,7433802,"aquatics"
"sailing",3,0.036357273369182,2865.0740077461,0.00013374348000535,113,0.377733628095018,7433802,"aquatics"
"harbor",3,0.0287722669001742,1638.65662750244,0.000130855796911803,99,0.377733628095018,7433802,"aquatics"
"marina",3,0.0264599485112668,1319.44607079283,0.000136518771331058,108,0.377733628095018,7433802,"aquatics"
"ship",3,0.0262642002715363,516.928411626365,0.000126951885235496,150,0.377733628095018,7433802,"aquatics"
"sea kayak",3,0.0249332288579243,231.889618546001,0.000131371518654756,53,0.377733628095018,7433802,"aquatics"
"sailboat",3,0.0248677007916238,896.423814065891,0.000133725595078898,107,0.377733628095018,7433802,"aquatics"
"sail",3,0.0245265154117846,486.03319972635,0.000135574837310195,108,0.377733628095018,7433802,"aquatics"
"ferry",3,0.0227322542778522,1279.0942799775,0.0001318391562294,111,0.377733628095018,7433802,"aquatics"
"oar",3,0.0219212480072202,317.012446495966,0.00013051422605064,71,0.377733628095018,7433802,"aquatics"
"canoeing",3,0.0216776189673144,290.94199802115,0.000126534227508541,48,0.377733628095018,7433802,"aquatics"
"canoe",3,0.0194823036222807,268.348881755424,0.000130718954248366,50,0.377733628095018,7433802,"aquatics"
"kayaking",3,0.0176482724211135,101.32989657842,0.000123092072870507,48,0.377733628095018,7433802,"aquatics"
"watercraft rowing",3,0.0173398243978228,766.250164702108,0.000135685210312076,76,0.377733628095018,7433802,"aquatics"
"surface water sports",3,0.0166551111826608,710.037524476665,0.000130599451482304,84,0.377733628095018,7433802,"aquatics"
"channel",3,0.0162242571609705,3154.28897698064,0.000133386688008537,108,0.377733628095018,7433802,"aquatics"
"fishing",11,0.0151006576549477,918.651002249275,0.000140984068800226,108,0.377733628095018,7433802,"aquatics"
"motorboat",3,0.014355307793567,1340.54522752645,0.000133457894034432,82,0.377733628095018,7433802,"aquatics"
"recreational fishing",11,0.0143406245811318,259.430775328639,0.00012809017548354,89,0.377733628095018,7433802,"aquatics"
"hobby",11,0.0132356015949718,3591.98284464552,0.000143102461362335,167,0.377733628095018,7433802,"aquatics"
"boardsport",3,0.0119399143237257,948.881641326493,0.000131061598951507,109,0.377733628095018,7433802,"aquatics"
"water sport",3,0.0103727541753251,749.849260545757,0.000128899200824955,84,0.377733628095018,7433802,"aquatics"
"tubing",3,0.00889310067596031,258.281728755247,0.000121669302834895,46,0.377733628095018,7433802,"aquatics"
"motor ship",3,0.00844832802851967,3390.44335593898,0.000126326427488631,69,0.377733628095018,7433802,"aquatics"
"sailing ship",3,0.00787774395106716,781.392450096525,0.00013700506918756,98,0.377733628095018,7433802,"aquatics"
