"","tag","freq","prop","pct"
"1","tree",71453,0.454937890373804,1
"2","sky",68983,0.439211516544527,0.999787324542748
"3","water",45811,0.291676482385825,0.999574649085496
"4","wilderness",34935,0.222429501913269,0.999361973628243
"5","nature",32079,0.204245484238608,0.999149298170991
"6","plant",29206,0.185953228363502,0.998936622713739
"7","mountain",26650,0.169679296579036,0.998723947256487
"8","cloud",22785,0.14507102336035,0.998511271799234
"9","grass",18667,0.118851911040933,0.998298596341982
"10","mountainous landforms",18288,0.116438835866319,0.99808592088473
"11","vegetation",18215,0.115974048299705,0.997873245427478
"12","nature reserve",17989,0.114535116929091,0.997660569970225
"13","rock",17100,0.108874895741145,0.997447894512973
"14","leaf",16911,0.107671541630322,0.997235219055721
"15","sea",16355,0.104131515780493,0.997022543598469
"16","body of water",16259,0.10352028829563,0.996809868141217
"17","highland",15421,0.0981847817090175,0.996597192683964
"18","lake",15217,0.0968859233036846,0.996384517226712
"19","ecosystem",14142,0.0900414488638172,0.99617184176946
"20","reflection",14069,0.089576661297203,0.995959166312208
"21","fun",13598,0.086577826449596,0.995746490854955
"22","ridge",13448,0.0856227835044983,0.995533815397703
"23","river",13158,0.0837763671439759,0.995321139940451
"24","winter",13091,0.0833497812951656,0.995108464483199
"25","woody plant",12366,0.0787337403938597,0.994895789025946
"26","path",12167,0.0774667167533633,0.994683113568694
"27","snow",11753,0.0748307982248935,0.994470438111442
"28","forest",11513,0.0733027295127371,0.99425776265419
"29","loch",11398,0.0725705299214955,0.994045087196938
"30","hill",11092,0.070622242313496,0.993832411739685
"31","vehicle",11020,0.0701638216998491,0.993619736282433
"32","recreation",10608,0.0675406370773139,0.993407060825181
"33","coast",10300,0.0655796155633798,0.993194385367929
"34","horizon",10162,0.0647009760538899,0.992981709910676
"35","shore",10040,0.063924207791877,0.992769034453424
"36","woodland",9905,0.0630646691412891,0.992556358996172
"37","house",9635,0.0613455918401131,0.99234368353892
"38","waterway",9240,0.0588306454180223,0.992131008081667
"39","vacation",8998,0.0572898427999312,0.991918332624415
"40","mountain range",8675,0.0552333169914874,0.991705657167163
"41","geological phenomenon",7784,0.0495603618976067,0.991492981709911
"42","car",7577,0.0482424026333717,0.991280306252658
"43","road",7554,0.0480959627151234,0.991067630795406
"44","atmosphere",7450,0.0474337996065223,0.990854955338154
"45","freezing",7356,0.0468353060275944,0.990642279880902
"46","water resources",7353,0.0468162051686924,0.990429604423649
"47","stream",7093,0.0451607973971896,0.990216928966397
"48","outdoor recreation",6966,0.0443521943703402,0.990004253509145
"49","ocean",6784,0.0431934089302882,0.989791578051893
"50","watercourse",6783,0.0431870419773209,0.989578902594641
"51","morning",6689,0.042588548398393,0.989366227137388
"52","home",6475,0.0412260204633868,0.989153551680136
"53","reservoir",6025,0.0383608916280935,0.988940876222884
"54","autumn",5976,0.0380489109326949,0.988728200765632
"55","coastal and oceanic landforms",5701,0.0362979988666824,0.988515525308379
"56","atmosphere of earth",5626,0.0358204773941335,0.988302849851127
"57","adventure",5413,0.0344643164120947,0.988090174393875
"58","trail",5171,0.0329235137940036,0.987877498936623
"59","landscape",5106,0.0325096618511279,0.98766482347937
"60","girl",5047,0.0321340116260561,0.987452148022118
"61","flora",4828,0.0307396489262134,0.987239472564866
"62","transport",4789,0.030491337760488,0.987026797107614
"63","creek",4705,0.0299565137112332,0.986814121650362
"64","motor vehicle",4679,0.0297909729340829,0.986601446193109
"65","rural area",4664,0.0296954686395732,0.986388770735857
"66","boat",4647,0.0295872304391287,0.986176095278605
"67","fauna",4596,0.0292625158377955,0.985963419821353
"68","promontory",4561,0.0290396724839394,0.9857507443641
"69","field",4321,0.0275116037717829,0.985538068906848
"70","fell",4304,0.0274033655713385,0.985325393449596
"71","wood",4224,0.026894009333953,0.985112717992344
"72","branch",4090,0.0260408376363324,0.984900042535091
"73","sunset",4079,0.0259708011536919,0.984687367077839
"74","mount scenery",4059,0.0258434620943455,0.984474691620587
"75","leisure",4047,0.0257670586587377,0.984262016163335
"76","dawn",4032,0.0256715543642279,0.984049340706083
"77","grassland",3913,0.024913886961117,0.98383666524883
"78","geology",3843,0.0244682002534047,0.983623989791578
"79","hill station",3819,0.0243153933821891,0.983411314334326
"80","child",3783,0.0240861830753656,0.983198638877074
"81","calm",3751,0.0238824405804114,0.982985963419821
"82","sunrise",3690,0.023494056449405,0.982773287962569
"83","property",3672,0.0233794512959933,0.982560612505317
"84","infrastructure",3641,0.0231820757540064,0.982347937048065
"85","phenomenon",3620,0.0230483697416927,0.982135261590812
"86","terrain",3615,0.0230165349768561,0.98192258613356
"87","flower",3506,0.0223225371034184,0.981709910676308
"88","green",3447,0.0219468868783466,0.981497235219056
"89","tourism",3393,0.0216030714181114,0.981284559761804
"90","night",3367,0.0214375306409612,0.981071884304551
"91","evening",3335,0.021233788146007,0.980859208847299
"92","real estate",3305,0.0210427795569874,0.980646533390047
"93","photography",3291,0.020953642215445,0.980433857932795
"94","black and white",3217,0.0204824876958634,0.980221182475542
"95","water transportation",3210,0.0204379190250922,0.98000850701829
"96","cottage",3201,0.0203806164483863,0.979795831561038
"97","building",3155,0.0200877366118896,0.979583156103786
"98","product",3149,0.0200495348940857,0.979370480646533
"99","waterfall",3135,0.0199603975525433,0.979157805189281
"100","smile",3115,0.0198330584931969,0.978945129732029
"101","darkness",3112,0.019813957634295,0.978732454274777
"102","mode of transport",3072,0.0195592795156022,0.978519778817524
"103","vertebrate",2995,0.0190690241371187,0.978307103360272
"104","wildlife",2988,0.0190244554663475,0.97809442790302
"105","sports",2965,0.0188780155480991,0.977881752445768
"106","biome",2908,0.018515099228962,0.977669076988516
"107","event",2906,0.0185023653230274,0.977456401531263
"108","wetland",2902,0.0184768975111581,0.977243726074011
"109","bank",2894,0.0184259618874195,0.977031050616759
"110","ice",2815,0.0179229726030014,0.976818375159507
"111","old growth forest",2763,0.0175918910487008,0.976605699702254
"112","water feature",2629,0.0167387193510802,0.976393024245002
"113","shrubland",2601,0.0165604446679952,0.97618034878775
"114","land vehicle",2576,0.0164012708438123,0.975967673330498
"115","temperate broadleaf and mixed forest",2560,0.0162993995963352,0.975754997873245
"116","monochrome photography",2499,0.0159110154653288,0.975542322415993
"117","lane",2485,0.0158218781237863,0.975329646958741
"118","residential area",2449,0.0155926678169628,0.975116971501489
"119","meadow",2433,0.0154907965694857,0.974904296044236
"120","daytime",2428,0.0154589618046491,0.974691620586984
"121","beach",2379,0.0151469811092505,0.974478945129732
"122","light",2350,0.0149623394731983,0.97426626967248
"123","deciduous",2322,0.0147840647901134,0.974053594215228
"124","organism",2316,0.0147458630723095,0.973840918757975
"125","boating",2308,0.0146949274485709,0.973628243300723
"126","cliff",2282,0.0145293866714207,0.973415567843471
"127","insect",2254,0.0143511119883357,0.973202892386219
"128","people",2241,0.0142683415997606,0.972990216928966
"129","pasture",2239,0.014255607693826,0.972671203743088
"130","soil",2239,0.014255607693826,0.972671203743088
"131","bird",2203,0.0140263973870025,0.97235219055721
"132","team sport",2174,0.0138417557509503,0.972139515099957
"133","architecture",2162,0.0137653523153424,0.971926839642705
"134","national park",2159,0.0137462514564405,0.971714164185453
"135","spruce fir forest",2158,0.0137398845034732,0.971501488728201
"136","headland",2153,0.0137080497386366,0.971288813270949
"137","mammal",2127,0.0135425089614863,0.971076137813696
"138","invertebrate",2066,0.0131541248304799,0.970863462356444
"139","lawn",2055,0.0130840883478394,0.970650786899192
"140","yellow",2051,0.0130586205359701,0.97043811144194
"141","font",2037,0.0129694831944276,0.970225435984687
"142","line",2030,0.0129249145236564,0.970012760527435
"143","track",2024,0.0128867128058525,0.969800085070183
"144","area",1959,0.0124728608629768,0.969587409612931
"145","bedrock",1958,0.0124664939100095,0.969374734155678
"146","grass family",1945,0.0123837235214343,0.9690557209698
"147","sunlight",1945,0.0123837235214343,0.9690557209698
"148","garden",1935,0.0123200539917612,0.968736707783922
"149","window",1920,0.0122245496972514,0.96852403232667
"150","bridge",1905,0.0121290454027416,0.968311356869417
"151","rail transport",1890,0.0120335411082318,0.968098681412165
"152","escarpment",1889,0.0120271741552645,0.967886005954913
"153","asphalt",1881,0.011976238531526,0.967673330497661
"154","hiking",1879,0.0119635046255913,0.967460655040408
"155","design",1876,0.0119444037666894,0.967247979583156
"156","dog like mammal",1870,0.0119062020488855,0.967035304125904
"157","glasses",1855,0.0118106977543757,0.966716290940026
"158","male",1855,0.0118106977543757,0.966716290940026
"159","spring",1850,0.0117788629895391,0.966397277754147
"160","automotive design",1848,0.0117661290836045,0.966184602296895
"161","headgear",1842,0.0117279273658005,0.965865589111017
"162","highway",1842,0.0117279273658005,0.965865589111017
"163","dog",1819,0.0115814874475522,0.965546575925138
"164","text",1808,0.0115114509649117,0.965333900467886
"165","afterglow",1771,0.0112758737051209,0.965121225010634
"166","outcrop",1769,0.0112631397991863,0.964908549553382
"167","sunglasses",1752,0.0111549015987419,0.964695874096129
"168","photograph",1748,0.0111294337868726,0.964483198638877
"169","product design",1702,0.010836553950376,0.964270523181625
"170","beak",1701,0.0108301869974087,0.963951509995747
"171","jungle",1701,0.0108301869974087,0.963951509995747
"172","snout",1671,0.0106391784083891,0.963632496809868
"173","winter sport",1667,0.0106137105965198,0.963419821352616
"174","automotive exterior",1659,0.0105627749727813,0.963207145895364
"175","outdoor structure",1629,0.0103717663837617,0.962994470438111
"176","day",1627,0.0103590324778271,0.962781794980859
"177","brand",1622,0.0103271977129905,0.962569119523607
"178","logo",1608,0.010238060371448,0.962356444066355
"179","neighbourhood",1594,0.0101489230299056,0.962143768609103
"180","games",1593,0.0101425560769383,0.96193109315185
"181","estate",1586,0.010097987406167,0.961718417694598
"182","diagram",1575,0.0100279509235265,0.961505742237346
"183","black",1570,0.00999611615868994,0.961293066780094
"184","blue",1566,0.00997064834682066,0.961080391322841
"185","room",1535,0.00977327280483379,0.960867715865589
"186","man",1533,0.00976053889889915,0.960655040408337
"187","train",1529,0.00973507108702988,0.960442364951085
"188","wave",1516,0.00965230069845474,0.960229689493832
"189","sitting",1513,0.00963319983955279,0.96001701403658
"190","facial expression",1493,0.00950586078020642,0.959804338579328
"191","macro photography",1491,0.00949312687427178,0.959591663122076
"192","vision care",1488,0.00947402601536983,0.959378987664823
"193","town",1480,0.00942309039163128,0.959166312207571
"194","watercraft",1457,0.00927665047338295,0.958953636750319
"195","ball game",1455,0.00926391656744832,0.958740961293067
"196","bicycle",1422,0.00905380711952681,0.958528285835815
"197","sport venue",1419,0.00903470626062485,0.958315610378562
"198","food",1417,0.00902197235469022,0.95810293492131
"199","furniture",1409,0.00897103673095167,0.957890259464058
"200","boulder",1406,0.00895193587204971,0.957677584006806
"201","wall",1399,0.00890736720127848,0.957464908549553
"202","pollinator",1392,0.00886279853050725,0.957252233092301
"203","boats and boating equipment and supplies",1390,0.00885006462457262,0.957039557635049
"204","mist",1384,0.00881186290676871,0.956720544449171
"205","player",1384,0.00881186290676871,0.956720544449171
"206","monochrome",1378,0.0087736611889648,0.956401531263292
"207","facade",1377,0.00876729423599748,0.95618885580604
"208","grove",1373,0.0087418264241282,0.955976180348788
"209","piste",1350,0.00859538650587988,0.955763504891535
"210","personal protective equipment",1341,0.00853808392917402,0.955550829434283
"211","formation",1340,0.0085317169762067,0.955338153977031
"212","frost",1339,0.00852535002323938,0.955125478519779
"213","rolling stock",1335,0.0084998822113701,0.954912803062527
"214","farm",1330,0.00846804744653351,0.954700127605274
"215","pink",1321,0.00841074486982765,0.954487452148022
"216","lighting",1300,0.00827703885751396,0.95427477669077
"217","flowering plant",1296,0.00825157104564469,0.954062101233518
"218","toddler",1289,0.00820700237487346,0.953849425776265
"219","landmark",1278,0.00813696589223295,0.953636750319013
"220","cycling",1271,0.00809239722146173,0.953424074861761
"221","wildflower",1237,0.0078759208205729,0.953211399404509
"222","play",1235,0.00786318691463826,0.952998723947256
"223","team",1232,0.00784408605573631,0.952786048490004
"224","arthropod",1228,0.00781861824386703,0.952573373032752
"225","dog breed",1218,0.00775494871419385,0.952254359846874
"226","skin",1218,0.00775494871419385,0.952254359846874
"227","fog",1206,0.00767854527858603,0.951935346660995
"228","locomotive",1201,0.00764671051374943,0.951722671203743
"229","public space",1196,0.00761487574891284,0.951509995746491
"230","person",1191,0.00758304098407625,0.951297320289239
"231","flooring",1175,0.00748116973659916,0.951084644831986
"232","race",1170,0.00744933497176256,0.950871969374734
"233","crowd",1165,0.00741750020692597,0.950659293917482
"234","prairie",1160,0.00738566544208938,0.95044661846023
"235","moths and butterflies",1156,0.00736019763022011,0.950233943002977
"236","roof",1152,0.00733472981835083,0.950021267545725
"237","close up",1144,0.00728379419461228,0.949702254359847
"238","eyewear",1144,0.00728379419461228,0.949702254359847
"239","floor",1140,0.00725832638274301,0.949383241173969
"240","community",1116,0.00710551951152737,0.94906422798809
"241","shrub",1116,0.00710551951152737,0.94906422798809
"242","sign",1114,0.00709278560559273,0.948745214802212
"243","footwear",1113,0.00708641865262541,0.94853253934496
"244","cuisine",1107,0.0070482169348215,0.948213526159081
"245","pond",1107,0.0070482169348215,0.948213526159081
"246","road bicycle",1104,0.00702911607591955,0.947894512973203
"247","ski",1102,0.00701638216998491,0.947681837515951
"248","yard",1098,0.00699091435811564,0.947469162058698
"249","interior design",1094,0.00696544654624636,0.947256486601446
"250","farmhouse",1092,0.00695271264031173,0.947043811144194
"251","land lot",1080,0.0068763092047039,0.946831135686942
"252","bay",1077,0.00685720834580195,0.94661846022969
"253","riparian zone",1074,0.00683810748689999,0.946405784772437
"254","face",1073,0.00683174053393268,0.946193109315185
"255","dusk",1068,0.00679990576909608,0.945980433857933
"256","structure",1052,0.00669803452161899,0.945767758400681
"257","shed",1048,0.00667256670974972,0.945555082943428
"258","tropical and subtropical coniferous forests",1037,0.00660253022710921,0.945342407486176
"259","skiing",1028,0.00654522765040335,0.945129732028924
"260","red",1024,0.00651975983853407,0.944917056571672
"261","meteorological phenomenon",1021,0.00650065897963212,0.944704381114419
"262","sports equipment",1018,0.00648155812073016,0.944491705657167
"263","trunk",1009,0.0064242555440243,0.944279030199915
"264","city",1003,0.00638605382622039,0.944066354742663
"265","summer",995,0.00633511820248184,0.94385367928541
"266","nose",989,0.00629691648467793,0.943641003828158
"267","dog breed group",976,0.00621414609610279,0.943428328370906
"268","table",974,0.00620141219016815,0.943215652913654
"269","signage",972,0.00618867828423351,0.943002977456401
"270","emotion",958,0.00609954094269106,0.942790301999149
"271","horse",954,0.00607407313082178,0.942577626541897
"272","backpacking",926,0.00589579844773687,0.942364951084645
"273","football player",918,0.00584486282399832,0.942152275627393
"274","astronomical object",910,0.00579392720025977,0.94193960017014
"275","log cabin",905,0.00576209243542318,0.941620586984262
"276","ski equipment",905,0.00576209243542318,0.941620586984262
"277","hair",901,0.00573662462355391,0.941301573798384
"278","social group",898,0.00571752376465195,0.941088898341131
"279","public event",894,0.00569205595278268,0.940876222883879
"280","meal",890,0.0056665881409134,0.940557209698001
"281","moth",890,0.0056665881409134,0.940557209698001
"282","purple",886,0.00564112032904413,0.940238196512122
"283","dish",885,0.00563475337607681,0.94002552105487
"284","rainforest",874,0.00556471689343631,0.939812845597618
"285","state park",854,0.00543737783408994,0.939600170140366
"286","family car",852,0.0054246439281553,0.939281156954487
"287","fixed link",852,0.0054246439281553,0.939281156954487
"288","kayak",851,0.00541827697518798,0.938962143768609
"289","human hair color",844,0.00537370830441676,0.938749468311357
"290","mountain bike",837,0.00532913963364553,0.938536792854105
"291","headstone",835,0.00531640572771089,0.938324117396852
"292","sailing",827,0.00526547010397234,0.9381114419396
"293","grave",808,0.00514449799759329,0.937898766482348
"294","eye",802,0.00510629627978938,0.93757975329647
"295","soccer",802,0.00510629627978938,0.93757975329647
"296","competition",801,0.00509992932682206,0.937260740110591
"297","standing",792,0.0050426267501162,0.937048064653339
"298","travel",760,0.00483888425516201,0.936835389196087
"299","tower",757,0.00481978339626005,0.936622713738835
"300","blizzard",748,0.00476248081955419,0.936410038281582
"301","butterfly",747,0.00475611386658687,0.93619736282433
"302","tarn",738,0.004698811289881,0.935984687367078
"303","backyard",724,0.00460967394833854,0.9356656741812
"304","water bird",724,0.00460967394833854,0.9356656741812
"305","railroad car",721,0.00459057308943659,0.935346660995321
"306","memorial",718,0.00457147223053463,0.935133985538069
"307","road surface",716,0.0045587383246,0.934921310080817
"308","plain",712,0.00453327051273072,0.934708634623564
"309","leg",711,0.0045269035597634,0.934495959166312
"310","park",708,0.00450780270086145,0.93428328370906
"311","membrane winged insect",705,0.00448870184195949,0.934070608251808
"312","fireworks",692,0.00440593145338435,0.933857932794556
"313","horse like mammal",691,0.00439956450041704,0.933645257337303
"314","street",690,0.00439319754744972,0.933432581880051
"315","sand",686,0.00436772973558044,0.933113568694173
"316","walkway",686,0.00436772973558044,0.933113568694173
"317","cemetery",683,0.00434862887667849,0.932794555508294
"318","sun",680,0.00432952801777653,0.932581880051042
"319","cheek",679,0.00432316106480921,0.93236920459379
"320","dock",674,0.00429132629997262,0.932156529136538
"321","sail",672,0.00427859239403798,0.931943853679285
"322","panorama",666,0.00424039067623407,0.931731178222033
"323","plant community",665,0.00423402372326676,0.931518502764781
"324","animal sports",664,0.00422765677029944,0.931305827307529
"325","sailboat",663,0.00422128981733212,0.931093151850277
"326","siding",659,0.00419582200546285,0.930880476393024
"327","classic",655,0.00417035419359357,0.930667800935772
"328","stream bed",650,0.00413851942875698,0.93045512547852
"329","ceremony",649,0.00413215247578966,0.930242450021268
"330","infant",646,0.00411305161688771,0.929923436835389
"331","pest",646,0.00411305161688771,0.929923436835389
"332","arctic",643,0.00409395075798575,0.929604423649511
"333","boy",642,0.00408758380501843,0.929391748192259
"334","equestrian sport",641,0.00408121685205111,0.92907273500638
"335","fête",641,0.00408121685205111,0.92907273500638
"336","red sky at morning",636,0.00404938208721452,0.928753721820502
"337","snapshot",634,0.00403664818127988,0.92854104636325
"338","shack",632,0.00402391427534525,0.928328370905997
"339","monument",631,0.00401754732237793,0.928115695448745
"340","cycle sport",627,0.00399207951050866,0.927903019991493
"341","petal",625,0.00397934560457402,0.927690344534241
"342","clothing",623,0.00396661169863938,0.927477669076988
"343","woman",621,0.00395387779270475,0.927264993619736
