"OBJECTID_12","OBJECTID","caption","url","isUrban","latitude","longitude","id","owner","hometown","datetaken","dateupload","tags1","tags2","tags3","tags4","tags5","tags6","tags7","tags8","tags9","tags10","uniqueID","OBJECTID_1","STUSPS"
54302,54310,"[andyarthur.org/adirondacks/ferris-lake/piseco-powley-
road...](http://andyarthur.org/adirondacks/ferris-lake/piseco-powley-
road/photos-piseco-powley-road-jun-1-2013-part-a-2.html) Piseco-Powley Road on
Saturday Jun 1, 2013. Copyright (c)2013 Andy Arthu","https://farm8.staticflickr.com/7357/8964347556_4c568546a5.jpg",0,43.261972,-74.65775,8964347556,"45846171@N04"," ","6/1/2013 9:47","6/5/2013 22:57","nature reserve","tree","path","woodland","yard","backyard","outdoor structure","recreation","plant","trail",54310,1,"NY"
190525,189934,"Traffic drives past on an automobile causeway across Lake Champlain as a storm
moves to the east","https://farm5.staticflickr.com/4230/35507609776_9f32a41bd0.jpg",0,44.629512,-73.250205,35507609776,"139273624@N08"," ","6/24/2017 22:34","6/26/2017 13:18","sky","cloud","nature","tree","woody plant","atmosphere","atmosphere of earth","horizon","daytime","plant",189934,2,"VT"
237355,237364,"Rolleiflex 2.8F Fujichrome Astia 100F","https://farm9.staticflickr.com/8446/7804523536_aab0a32ed8.jpg",0,44.277331,-68.324704,7804523536,"20905078@N04","Oroville, CA","6/1/2012 0:00","8/17/2012 22:20","house","night","darkness","sky","light","home","architecture","atmosphere","wall","lighting",237364,4,"ME"
115087,115096,"Olympus digital camera","https://farm9.staticflickr.com/8705/28033589003_45873b77ff.jpg",0,44.219641,-74.434664,28033589003,"63746208@N00","Jamestown, NY","7/23/2016 11:40","7/30/2016 13:12","sky","cloud","ecosystem","wilderness","tree","mountainous landforms","vegetation","mountain","mount scenery","leaf",115096,1,"NY"
172819,172828,"Stowe, VT","https://farm6.staticflickr.com/5327/30945070665_7c8367d5cf.jpg",0,44.470098,-72.746551,30945070665,"23240883@N03","Huntsville, AL","10/18/2016 11:20","11/13/2016 0:03","leaf","tree","nature","autumn","woody plant","branch","deciduous","plant","woodland","sky",172828,2,"VT"
149573,149430,"Another win at Home. Way to Go CVU!","https://farm4.staticflickr.com/3758/10148312593_690e392846.jpg",0,44.34713,-73.105537,10148312593,"87271233@N06"," ","9/28/2013 10:42","10/8/2013 10:20","sports","team sport","football player","player","ball game","soccer player","sport venue","soccer","grass","women's football",149430,2,"VT"
136696,136705,"Hanna Alex","https://farm8.staticflickr.com/7468/29768484205_47c8c9735d.jpg",0,44.367213,-73.906487,29768484205,"26383131@N00","Bogota","9/17/2016 11:40","9/18/2016 17:24","facial expression","smile","vacation","fun","emotion","sky","friendship","adventure","girl","tourism",136705,1,"NY"
215253,215242,"Near the top of the Mt. Washington Auto Road. It's about 7.5 miles up climbing
4,618 feet, on a narrow (frequently one lane) road. Oh, plus the construction
vehicles. Going down is worse. On our way south from our Labrador adventure,
we found ourselves i","https://farm5.staticflickr.com/4496/36891356573_ac3d0c87b8.jpg",0,44.270097,-71.303443,36891356573,"67164820@N06"," ","7/17/2017 7:42","10/8/2017 2:20","highland","mountainous landforms","mountain","ridge","sky","fell","wilderness","mount scenery","mountain range","hill",215242,3,"NH"
274003,274013,"CMQ 9011 leads CMQ 9014, CMQ 9023,& CEFX 6537 West with 60 cars from
Brownville to Lac Megantic.","https://farm5.staticflickr.com/4293/35818363531_f081578173.jpg",0,45.614766,-70.06829,35818363531,"150292987@N08"," ","7/15/2017 12:05","7/16/2017 4:37","transport","track","train","rail transport","locomotive","rolling stock","mode of transport","plant","vehicle","tree",274013,4,"ME"
196074,196083,"The 101 Road and Edwards Road, Jeffersonville, Green Mountains, Vermont","https://farm8.staticflickr.com/7235/7194156534_d83fe94e69.jpg",0,44.603485,-72.802019,7194156534,"70940023@N07"," ","5/13/2012 19:51","5/14/2012 5:49","sky","nature","cloud","sunrise","dawn","morning","sunset","evening","tree","atmosphere",196083,2,"VT"
